Entity,Code,Year,Nitrogen oxides emissions from all sectors,Sulfur dioxide emissions from all sectors,Carbon monoxide emissions from all sectors,Black carbon emissions from all sectors,Ammonia emissions from all sectors,Non-methane volatile organic compounds emissions from all sectors
World,OWID_WRL,1750,184893.7,372348.8,67715240,520096.06,3232119,7252846.5
World,OWID_WRL,1751,185393.1,373582.38,67898200,521377.62,3241018.8,7272507
World,OWID_WRL,1752,185896.3,374746,68080870,522659.9,3249917,7292135.5
World,OWID_WRL,1753,186395.02,375804.06,68263050,523938.78,3258814.2,7311723
World,OWID_WRL,1754,186897.53,376930.53,68444950,525218.5,3267710,7331279.5
World,OWID_WRL,1755,187399.72,377865.53,68626470,526496.94,3276604.2,7350799.5
World,OWID_WRL,1756,188628.17,385363.5,68828200,528146.2,3285498.8,7371103
World,OWID_WRL,1757,189129.69,386486.25,69008936,529422,3294390.8,7390550.5
World,OWID_WRL,1758,189630.84,386847.28,69189290,530696.5,3303281.2,7409962.5
World,OWID_WRL,1759,190131.67,388174.72,69369250,531969.6,3312170.5,7429338
World,OWID_WRL,1760,190628,388774.47,69548710,533239.3,3321058.2,7448673
World,OWID_WRL,1761,192184.88,399054.38,69740456,534879.06,3328532.8,7467460.5
World,OWID_WRL,1762,192661.83,399642.47,69901250,535964.6,3336003.2,7484995.5
World,OWID_WRL,1763,193138.42,400937.75,70061650,537048.8,3343472.8,7502495
World,OWID_WRL,1764,193614.72,402646.5,70221670,538131.6,3350940,7519958
World,OWID_WRL,1765,194090.66,402314.75,70381300,539213.2,3358406.5,7537385.5
World,OWID_WRL,1766,196002.95,416407.84,70581176,541029.3,3365875.5,7556393.5
World,OWID_WRL,1767,196478.22,416540.5,70740030,542108.1,3373339.2,7573748.5
World,OWID_WRL,1768,196953.14,418641.8,70898490,543185.8,3380801.5,7591067
World,OWID_WRL,1769,197427.73,420206.16,71056560,544262,3388263,7608349
World,OWID_WRL,1770,197901.97,422045.66,71214250,545337,3395722.8,7625595.5
World,OWID_WRL,1771,200599.06,435968.03,71878200,551228.44,3430736.2,7690482.5
World,OWID_WRL,1772,201784.08,437852.03,72498810,556342.44,3465743.2,7753607.5
World,OWID_WRL,1773,202968.52,439613.16,73118770,561453.06,3500747.8,7816672
World,OWID_WRL,1774,204152.39,442098.16,73738080,566560.2,3535749.2,7879677
World,OWID_WRL,1775,205335.7,444322.06,74356744,571663.9,3570748.2,7942621.5
World,OWID_WRL,1776,208113.08,460547.53,75019750,577580.8,3605748.8,8007301
World,OWID_WRL,1777,209295.28,462819.84,75637120,582677.75,3640742.8,8070125.5
World,OWID_WRL,1778,210476.9,464468.1,76253830,587771.2,3675733.5,8132889.5
World,OWID_WRL,1779,211657.97,468551,76869890,592861.2,3710721.8,8195594.5
World,OWID_WRL,1780,212944.73,470007.7,77485440,598098.3,3745707.5,8258267.5
World,OWID_WRL,1781,215663.72,488737.84,77822350,601139.1,3759819,8290579
World,OWID_WRL,1782,216366.28,490172.7,78101730,603151.44,3773923.2,8320565.5
World,OWID_WRL,1783,217072.53,493507.22,78380670,605163.56,3788026,8350507
World,OWID_WRL,1784,217768.56,495002.97,78658970,607163.3,3802126.2,8380392.5
World,OWID_WRL,1785,218487.28,496557.25,78936860,609176.8,3816225.2,8410238
World,OWID_WRL,1786,221773.9,520401.62,79286810,612507.06,3830328.5,8442930
World,OWID_WRL,1787,222477.36,521137.28,79563580,614509.06,3844423.5,8472671
World,OWID_WRL,1788,223307.58,520905.6,79839704,617590.75,3858516.2,8502438
World,OWID_WRL,1789,224020.28,522329.72,80115416,619696.94,3872607.2,8532086
World,OWID_WRL,1790,224738.98,524950.1,80390584,621810.4,3886696.2,8561686
World,OWID_WRL,1791,227727.75,546292.9,80554664,623449.2,3886447.5,8575719
World,OWID_WRL,1792,229294.55,553399.1,80658080,623957.75,3886196,8587528
World,OWID_WRL,1793,229779.17,554354.75,80749990,624304.9,3885938,8598621
World,OWID_WRL,1794,230128.05,554563.44,80840070,624604.1,3885678,8609582
