,Year,Temperature
0,1800,8.484250000000001
1,1801,8.589666666666668
2,1802,8.578166666666666
3,1803,8.503
4,1804,8.844833333333334
5,1805,8.56275
6,1806,8.434083333333332
7,1807,8.281416666666665
8,1808,7.626833333333333
9,1809,7.076416666666667
10,1810,6.922666666666665
11,1811,6.859500000000001
12,1812,7.046250000000001
13,1813,7.7399166666666686
14,1814,7.59175
15,1815,7.239333333333334
16,1816,6.9375
17,1817,6.975666666666668
18,1818,7.828916666666667
19,1819,7.3691666666666675
20,1820,7.616249999999998
21,1821,8.090083333333332
22,1822,8.188333333333334
23,1823,7.718666666666665
24,1824,8.547166666666667
25,1825,8.389333333333333
26,1826,8.356583333333335
27,1827,8.808749999999998
28,1828,8.165333333333335
29,1829,7.941833333333332
30,1830,8.51675
31,1831,7.639166666666667
32,1832,7.450166666666667
33,1833,8.013
34,1834,8.14675
35,1835,7.392499999999999
36,1836,7.695833333333334
37,1837,7.3756666666666675
38,1838,7.514916666666665
39,1839,7.632249999999999
40,1840,7.796250000000001
41,1841,7.688166666666667
42,1842,8.02275
43,1843,8.173666666666668
44,1844,7.646333333333334
45,1845,7.851166666666668
46,1846,8.55275
47,1847,8.086
48,1848,7.979500000000001
49,1849,7.984416666666667
50,1850,7.900666666666666
51,1851,8.178583333333332
52,1852,8.100166666666665
53,1853,8.041833333333333
54,1854,8.2105
55,1855,8.110749999999998
56,1856,7.995916666666666
57,1857,7.758166666666668
58,1858,8.10025
59,1859,8.252
60,1860,7.960833333333333
61,1861,7.846500000000002
62,1862,7.558583333333335
63,1863,8.111833333333333
64,1864,7.983583333333335
65,1865,8.177833333333334
66,1866,8.292166666666665
67,1867,8.436333333333334
68,1868,8.247916666666667
69,1869,8.432083333333333
70,1870,8.201333333333332
71,1871,8.115083333333333
72,1872,8.193833333333332
73,1873,8.351083333333333
74,1874,8.4335
75,1875,7.859583333333334
76,1876,8.080083333333333
77,1877,8.539583333333333
78,1878,8.829749999999999
79,1879,8.165833333333333
80,1880,8.118749999999999
81,1881,8.270916666666666
82,1882,8.128916666666667
83,1883,7.976916666666667
84,1884,7.773666666666667
85,1885,7.919666666666668
86,1886,7.954499999999999
87,1887,7.914916666666667
88,1888,8.0905
89,1889,8.318999999999999
90,1890,7.971666666666667
91,1891,8.019333333333334
92,1892,8.065833333333332
93,1893,8.05675
94,1894,8.161
95,1895,8.147
96,1896,8.214916666666666
97,1897,8.293333333333335
98,1898,8.177999999999999
99,1899,8.396333333333333
100,1900,8.501583333333333
101,1901,8.541916666666665
102,1902,8.304416666666667
103,1903,8.220166666666668
104,1904,8.090916666666667
105,1905,8.225166666666665
106,1906,8.379083333333332
107,1907,7.947166666666667
108,1908,8.186083333333334
109,1909,8.17825
110,1910,8.223
111,1911,8.177000000000001
112,1912,8.165416666666667
113,1913,8.297749999999999
114,1914,8.5905
115,1915,8.593166666666665
116,1916,8.22525
117,1917,8.023333333333332
118,1918,8.130833333333332
119,1919,8.38225
120,1920,8.35875
121,1921,8.571
122,1922,8.408
123,1923,8.422166666666666
124,1924,8.506833333333335
125,1925,8.534416666666667
126,1926,8.728833333333332
127,1927,8.522083333333333
128,1928,8.632166666666668
129,1929,8.242416666666665
130,1930,8.633583333333332
131,1931,8.71925
132,1932,8.705250000000001
133,1933,8.33825
134,1934,8.628333333333336
135,1935,8.51575
136,1936,8.554
137,1937,8.698333333333332
138,1938,8.863666666666667
139,1939,8.760333333333334
140,1940,8.764666666666665
141,1941,8.768666666666668
142,1942,8.728416666666666
143,1943,8.755083333333333
144,1944,8.845
145,1945,8.584833333333332
146,1946,8.676916666666665
147,1947,8.797083333333333
148,1948,8.74675
149,1949,8.586749999999999
150,1950,8.365250000000001
151,1951,8.625666666666666
152,1952,8.638250000000001
153,1953,8.87375
154,1954,8.560666666666666
155,1955,8.62625
156,1956,8.279583333333333
157,1957,8.7325
158,1958,8.77375
159,1959,8.732666666666665
160,1960,8.58375
161,1961,8.797666666666666
162,1962,8.745916666666666
163,1963,8.856
164,1964,8.409666666666666
165,1965,8.527416666666667
166,1966,8.599333333333332
167,1967,8.700083333333334
168,1968,8.516333333333334
169,1969,8.595083333333333
170,1970,8.700916666666666
171,1971,8.59925
172,1972,8.499583333333334
173,1973,8.948249999999998
174,1974,8.4675
175,1975,8.744833333333334
176,1976,8.347249999999999
177,1977,8.850249999999999
178,1978,8.692749999999998
179,1979,8.733416666666665
180,1980,8.980333333333332
181,1981,9.165833333333333
182,1982,8.639166666666666
183,1983,9.028166666666666
184,1984,8.691833333333335
185,1985,8.658
186,1986,8.833583333333332
187,1987,8.994416666666668
188,1988,9.201583333333334
189,1989,8.922000000000002
190,1990,9.234166666666667
191,1991,9.179416666666667
192,1992,8.836583333333332
193,1993,8.866583333333333
194,1994,9.038749999999999
195,1995,9.347083333333332
196,1996,9.038916666666667
197,1997,9.202583333333333
198,1998,9.522666666666666
199,1999,9.285083333333333
200,2000,9.201166666666667
201,2001,9.414583333333335
202,2002,9.570416666666667
203,2003,9.525583333333334
204,2004,9.324583333333333
205,2005,9.700916666666666
206,2006,9.532499999999999
207,2007,9.732166666666666
208,2008,9.431750000000001
209,2009,9.505250000000002
210,2010,9.703083333333332
211,2011,9.516
212,2012,9.507333333333333
213,2013,9.6065
214,2014,9.570666666666666
215,2015,9.830999999999998
