Year,Unnamed: 1,Type,Prevalence,Unnamed: 4,Unnamed: 5,Young women (15-24) prevalence (%),Unnamed: 7,Unnamed: 8,Young men (15-24) prevalence (%),Unnamed: 10,Unnamed: 11,AIDS-related deaths among adults and children,Unnamed: 13,Unnamed: 14,AIDS-related deaths among children (0-14),Unnamed: 16,Unnamed: 17,AIDS-related deaths among adults (15+),Unnamed: 19,Unnamed: 20,Estimated children (0-14) living with HIV,Unnamed: 22,Unnamed: 23,Estimated women (15+) living with HIV,Unnamed: 25,Unnamed: 26,Estimated adults (15+) living with HIV,Unnamed: 28,Unnamed: 29,Estimated adults and children living with HIV,Unnamed: 31,Unnamed: 32,Adults (15-49) incidence (per 1000 uninfected population),Unnamed: 34,Unnamed: 35,All ages incidence (per 1000 uninfected population),Unnamed: 37,Unnamed: 38,Pregnant women needing antiretrovirals for preventing mother-to-child transmission,Unnamed: 40,Unnamed: 41,Children (0-14) newly infected with HIV,Unnamed: 43,Unnamed: 44,Adults (15+) newly infected with HIV,Unnamed: 46,Unnamed: 47,Adults and children newly infected with HIV,Unnamed: 49,Unnamed: 50
1990.0,03M49WLD,Global,0.3,0.3,0.4,0.3,0.2,0.4,0.2,0.1,0.2,420 000,330 000,540 000,140 000,94 000,190 000,280 000,220 000,370 000,570 000,460 000,720 000,4.3 m,3.9 m,4.8 m,9.3 m,8.4 m,10.4 m,9.9 m,8.9 m,11.0 m,0.79,0.62,1,0.48,0.39,0.61,560 000,460 000,650 000,280 000,200 000,400 000,2.2 m,1.8 m,2.9 m,2.5 m,2.0 m,3.2 m
1991.0,03M49WLD,Global,0.4,0.3,0.4,0.4,0.2,0.5,0.2,0.1,0.3,530 000,420 000,690 000,160 000,110 000,230 000,370 000,290 000,480 000,710 000,580 000,900 000,5.3 m,4.8 m,6.0 m,11.3 m,10.2 m,12.6 m,12.0 m,10.9 m,13.4 m,0.85,0.67,1.1,0.53,0.42,0.67,690 000,560 000,790 000,320 000,230 000,470 000,2.4 m,2.0 m,3.1 m,2.8 m,2.2 m,3.5 m
1992.0,03M49WLD,Global,0.4,0.4,0.5,0.4,0.2,0.5,0.2,0.2,0.3,660 000,520 000,860 000,190 000,130 000,270 000,470 000,360 000,610 000,870 000,710 000,1.1 m,6.4 m,5.8 m,7.1 m,13.3 m,12.1 m,14.9 m,14.2 m,12.8 m,15.9 m,0.88,0.7,1.1,0.55,0.44,0.7,810 000,660 000,940 000,370 000,260 000,530 000,2.6 m,2.1 m,3.3 m,2.9 m,2.4 m,3.7 m
1993.0,03M49WLD,Global,0.5,0.4,0.6,0.5,0.3,0.6,0.3,0.2,0.4,800 000,630 000,1.0 m,220 000,150 000,310 000,580 000,450 000,760 000,1.0 m,840 000,1.3 m,7.4 m,6.7 m,8.3 m,15.3 m,13.8 m,17.0 m,16.3 m,14.7 m,18.2 m,0.89,0.7,1.1,0.56,0.45,0.71,930 000,760 000,1.1 m,400 000,290 000,580 000,2.6 m,2.1 m,3.4 m,3.0 m,2.5 m,3.9 m
1994.0,03M49WLD,Global,0.5,0.5,0.6,0.5,0.3,0.7,0.3,0.2,0.4,950 000,740 000,1.2 m,250 000,170 000,350 000,700 000,540 000,920 000,1.2 m,970 000,1.5 m,8.4 m,7.6 m,9.4 m,17.2 m,15.6 m,19.2 m,18.4 m,16.7 m,20.6 m,0.92,0.73,1.2,0.59,0.47,0.75,1.0 m,840 000,1.2 m,440 000,310 000,640 000,2.8 m,2.2 m,3.6 m,3.2 m,2.6 m,4.1 m
1995.0,03M49WLD,Global,0.6,0.5,0.7,0.5,0.3,0.7,0.3,0.2,0.4,1.1 m,860 000,1.4 m,270 000,190 000,380 000,820 000,640 000,1.1 m,1.4 m,1.1 m,1.7 m,9.4 m,8.6 m,10.6 m,19.1 m,17.3 m,21.3 m,20.5 m,18.5 m,22.9 m,0.91,0.72,1.2,0.59,0.47,0.75,1.1 m,930 000,1.3 m,470 000,340 000,680 000,2.8 m,2.3 m,3.6 m,3.3 m,2.6 m,4.2 m
1996.0,03M49WLD,Global,0.6,0.6,0.7,0.6,0.3,0.8,0.3,0.2,0.4,1.2 m,980 000,1.6 m,290 000,210 000,410 000,950 000,740 000,1.2 m,1.6 m,1.3 m,2.0 m,10.4 m,9.4 m,11.6 m,20.8 m,18.8 m,23.2 m,22.3 m,20.2 m,25.0 m,0.88,0.7,1.1,0.58,0.46,0.74,1.2 m,1000 000,1.4 m,500 000,360 000,720 000,2.8 m,2.2 m,3.6 m,3.3 m,2.6 m,4.2 m
1997.0,03M49WLD,Global,0.7,0.6,0.7,0.6,0.4,0.8,0.3,0.2,0.4,1.4 m,1.1 m,1.8 m,310 000,220 000,440 000,1.1 m,830 000,1.4 m,1.7 m,1.4 m,2.2 m,11.2 m,10.1 m,12.5 m,22.2 m,20.1 m,24.8 m,24.0 m,21.7 m,26.8 m,0.84,0.66,1.1,0.56,0.44,0.71,1.3 m,1.0 m,1.5 m,510 000,370 000,740 000,2.7 m,2.1 m,3.4 m,3.2 m,2.6 m,4.1 m
1998.0,03M49WLD,Global,0.7,0.6,0.8,0.6,0.4,0.8,0.3,0.2,0.4,1.5 m,1.2 m,2.0 m,330 000,230 000,460 000,1.2 m,920 000,1.6 m,1.9 m,1.5 m,2.4 m,11.8 m,10.7 m,13.3 m,23.4 m,21.2 m,26.1 m,25.3 m,22.9 m,28.3 m,0.78,0.62,0.99,0.52,0.42,0.66,1.3 m,1.1 m,1.5 m,520 000,370 000,760 000,2.5 m,2.0 m,3.2 m,3.0 m,2.4 m,3.9 m
1999.0,03M49WLD,Global,0.7,0.6,0.8,0.6,0.4,0.8,0.3,0.2,0.4,1.7 m,1.3 m,2.1 m,340 000,240 000,480 000,1.3 m,1.0 m,1.7 m,2.0 m,1.7 m,2.6 m,12.4 m,11.2 m,13.9 m,24.3 m,22.0 m,27.2 m,26.4 m,23.8 m,29.5 m,0.73,0.58,0.93,0.5,0.4,0.63,1.4 m,1.1 m,1.6 m,530 000,380 000,760 000,2.4 m,1.9 m,3.1 m,2.9 m,2.4 m,3.7 m
