Entity,Code,Year,percent_hunger
World,OWID_WRL,2000,12.8
World,OWID_WRL,2001,12.9
World,OWID_WRL,2002,13.2
World,OWID_WRL,2003,12.9
World,OWID_WRL,2004,12.7
World,OWID_WRL,2005,12.2
World,OWID_WRL,2006,11.2
World,OWID_WRL,2007,10.1
World,OWID_WRL,2008,9.5
World,OWID_WRL,2009,9.2
World,OWID_WRL,2010,8.7
World,OWID_WRL,2011,8.1
World,OWID_WRL,2012,8
World,OWID_WRL,2013,7.8
World,OWID_WRL,2014,7.3
World,OWID_WRL,2015,7.7
World,OWID_WRL,2016,7.6
World,OWID_WRL,2017,7.1
World,OWID_WRL,2018,7.2
World,OWID_WRL,2019,7.5
World,OWID_WRL,2020,8.5
World,OWID_WRL,2021,9
World,OWID_WRL,2022,9.1
World,OWID_WRL,2023,9.1
